"session","created","modified","ended","expired","respondentID","knowledgeFuelGas","knowledgeFuelElec","knowledgeSub","householdVehicles","currentVehType","currentVehTypeOther","parkingHousehold","parkingHouseholdOther","neighborEV","considerPHEV","considerBEV","yearOfBirth","gender","genderOther","ethnicity","ethnicityOther","education","work","housingType","housingTypeOther","housingOwner","housingOwnerOther","householdSize","political","politicalOther","covidEmployment","feedback"
"mv4CyMQzocb-W7IJjTcKtzYiWU6tAySa_GakZuPNgeXP2YSxxcawHnzYTOgH1MMw","2021-10-29 14:44:18","2021-10-29 14:46:47","2021-10-29 14:46:47","","3525","bev","phev","5000","1","Gasoline","","driveway","","2","probablyYes","probablyYes","1989","female","","black","","degree_bs","employed_over40","mobile","","rent","","3","moderate","","no","Great survey"
"O5ajNsBFmHL3ObmNH1C7wEcf9zJ7UGdGVbx7gU3qDJFBk486K1WksutDLw-lDtHS","2021-10-29 14:44:37","2021-10-29 14:45:57","2021-10-29 14:45:57","","9450","hev, phev","phev, bev","not_sure","1","Gasoline","","driveway","","2","probablyYes","definitelyNot","1995","female","","white","","degree_bs","disabled","detached","","own","","2","very_liberal","","no",""
"PfJYfRROMxxgcW4v4WDiSbIiWsB_EqbHAogCZjC4RBpzP7Z3g7fKfI29SIgXqUr9","2021-10-29 14:44:47","2021-10-29 14:46:28","2021-10-29 14:46:28","","2674","hev, phev","phev, bev","5000","1","Gasoline","","driveway","","2","maybe","maybe","1993","female","","white","","hs","employed_over40","apartment","","rent","","4","moderate","","no",""
"z_sWRbRNlzIfUNPSuGCNCArqhByGFljLvMNgOT1iPk3uMQBeAymlIjYz9eRRfB42","2021-10-29 14:45:19","2021-10-29 14:47:00","2021-10-29 14:47:00","","1120","hev","phev, bev","not_sure","2","Gasoline","","driveway","","1","maybe","maybe","1961","male","","white","","vocational","not_employed_yes_looking","detached","","prefer_not_say","","2","moderate","","yes","All good"
"FpJ2gsiqkvsume3x1tOpCg5o1p6JUSEUKgThQ9wZhCiqjRq5oOHqILGt_nuwdLYc","2021-10-29 14:45:23","2021-10-29 14:46:49","2021-10-29 14:46:49","","5870","bev","phev","not_sure","0","","","shared_lot","","3","definitelyNot","definitelyYes","1996","female","","hispanic","","no_hs","not_employed_yes_looking","mobile","","prefer_not_say","","5 or more","moderate","","yes",""
"QocnC94Mhn5W1kyr7naSO4L01LduM5QPVz8oVCvt1NzPMwbUuuqE6t0rgq5i9q2i","2021-10-29 14:45:30","2021-10-29 14:46:56","2021-10-29 14:46:56","","8959","hev, phev","hev, phev","not_sure","6","Gasoline","","driveway","","2","maybe","maybe","1989","female","","white","","hs","employed_over40","detached","","own","","3","liberal","","no",""
"kbG9UNOHiuZvPE6zCpsbPjcv6FBQB1rypzALvWF2VNnwXKcE5CK-ChFhHScL3PUJ","2021-10-29 14:46:15","2021-10-29 14:47:52","2021-10-29 14:47:52","","8851","hev, phev","phev","10000","3","Gasoline","","street, driveway, SFH","","2","definitelyNot","definitelyNot","1953","female","","white","","degree_bs","retired","detached","","own","","2","moderate","","no",""
"t7i3Cl3lWT4C6uGefv8tkmxpXbd1jZsw942VX7XyyMsBD35lH1vn06EbNOqlxCk7","2021-10-29 14:46:33","2021-10-29 14:48:21","2021-10-29 14:48:21","","7607","hev","hev, phev, bev","1000","1","Gasoline","","driveway","","2","probablyYes","probablyYes","1973","female","","white","","hs","disabled","detached","","rent","","5 or more","prefer_not_say","","no","Na"
"7asxnXh8QQI-S-Gv5NcEhp9-qMQgrZ4lFYI1y2mjJyawHfRnOT4soraENdJ9eOtU","2021-10-29 14:46:46","2021-10-29 14:48:11","2021-10-29 14:48:11","","4652","","hev, phev, bev","not_sure","1","Gasoline","","driveway","","2","maybe","maybe","2001","male","","white","","hs","employed_over40","apartment","","rent","","2","moderate","","no",""
"4oBg02IseszsEra2JaVsiWpQr5-CxAJ81V0cSbCsy5qXYC0bs3Q_gQKP5__tOD9q","2021-10-29 14:47:00","2021-10-29 14:49:04","2021-10-29 14:49:04","","3214","hev, phev","hev, bev","not_sure","1","Gasoline","","street","","2","probablyNot","definitelyNot","1963","female","","white","","college_some","disabled","townhome","","rent","","4","moderate","","no",""
"6fpruUnnsFZdbg1v_ZBD6ZsUJdWkk_IZ94iw7DuIOJhVOF1grnKR67Zag_aTpWqs","2021-10-29 14:47:47","2021-10-29 14:49:09","2021-10-29 14:49:09","","7711","hev, phev","phev, bev","2500","1","Gasoline","","driveway","","2","probablyYes","probablyYes","1999","female","","white","","degree_bs","not_employed_yes_looking","apartment","","rent","","3","moderate","","no",""
"nxIahlUHVEmLH8jt614IFARytJKgFuzDWHEjGGuiZRq-TwHYOOJOKc0Fw-KMuvXl","2021-10-29 14:47:53","2021-10-29 14:48:42","2021-10-29 14:48:42","","5927","bev","hev","5000","2","Gasoline","","driveway","","2","maybe","probablyNot","1981","male","","white","","hs","employed_over40","condo","","rent","","2","liberal","","no",""
"OOzWa8Z0PE3nQzy9Xb02h-2KL5mJcDG6Mva4MvVhIeYmojHAzNP4nJLo_9IUakcZ","2021-10-29 14:48:00","2021-10-29 14:49:39","2021-10-29 14:49:39","","8821","hev","phev","not_sure","1","Gasoline","","driveway","","3","maybe","maybe","1979","female","","white","","hs","employed_over40","detached","","own","","3","prefer_not_say","None","no",""
"mNsGcuN33ZHiqE-FCcDaRwxmzmFb6F4pok5-rZNt_iiS2d3bsk4q7pLy9spL1AWa","2021-10-29 14:48:04","2021-10-29 14:50:20","2021-10-29 14:50:20","","126","hev","phev, bev","not_sure","2","Gasoline","","SFH","","3","maybe","maybe","1971","female","","white","","degree_bs","disabled","detached","","own","","3","liberal","","no","Awesome survey"
"ve7uOr201tnwFLKDeO9NSjnBsL1i2kmayelYHBYqbXxQBgy1mLm1kf3wRin8W-Q_","2021-10-29 14:48:11","2021-10-29 14:51:44","2021-10-29 14:51:44","","7333","hev","phev","not_sure","1","Gasoline","","street","","3","maybe","maybe","1962","female","","white","","hs","employed_under40","mobile","","rent","With friends ","5 or more","moderate","","yes","If I could afford a electric car, I would consider buying one "
"0ozZ5FibSvRC_n89_-lURoDvPc5dTc8rf_sr6CzkDOYUZruvkxQmWbmyD3d-5ZpG","2021-10-29 14:48:19","2021-10-29 14:50:48","2021-10-29 14:50:49","","4782","hev, phev","phev, bev","not_sure","2","Gasoline","","street, driveway, SFH","","2","probablyNot","probablyYes","1991","male","","white","","college_some","employed_under40","detached","","own","","2","moderate","","no","Cool survey !"
"i007BqoaZPaKUT5ADyUhabVluweF0FCG7q9XeMndY777wva_4aQuksSSMeyxqALr","2021-10-29 14:48:36","2021-10-29 14:50:46","2021-10-29 14:50:46","","223","phev","phev","not_sure","1","Gasoline","","SFH","","1","definitelyNot","definitelyNot","1950","female","","white","","college_some","retired","detached","","own","","1","liberal","","no",""
"hM-g8G4zmx_NTPxm3sYgEzMTd6-gMeZSaF4DdTB1l6_fFPP3IjamCxNHvuFbIllu","2021-10-29 14:48:38","2021-10-29 14:50:11","2021-10-29 14:50:11","","9837","hev","hev, phev, bev","not_sure","2","Gasoline","","shared_lot","","3","maybe","maybe","1985","female","","white","","degree_associate","employed_over40","apartment","","rent","","2","conservative","","no",""
"2jLVo6DgIPFtasxUocg16ZL353Sqcyy5JklkxxLsNjZFCitbxC7-Lut0ZvOI9A-K","2021-10-29 14:48:59","2021-10-29 14:50:02","2021-10-29 14:50:02","","76","phev","hev","5000","2","Gasoline","","SFH","","1","probablyYes","maybe","2002","male","","white","","hs","student","mobile","","own","","3","moderate","","yes","This is a good survey."
"onWiOTp7lmxTPNaN9M2kb_3CMhKH1IIiJExNaa2dJ5YossKqV3kd11JTxItix7Fj","2021-10-29 14:50:07","2021-10-29 14:52:39","2021-10-29 14:52:39","","7907","hev, phev","hev, phev, bev","not_sure","0","","","driveway","","2","definitelyYes","maybe","1970","female","","black","","college_some","employed_under40","detached","","rent","","1","very_liberal","","yes",""
"VKuI9Hr5E08Rd03oU8_wEH4i5q-p_PhRPU0vM281xqZ1_qdvkUHagSDH7jJjBdwj","2021-10-29 14:50:29","2021-10-29 14:54:27","2021-10-29 14:54:27","","5165","hev","phev","not_sure","2","Gasoline","","street, driveway","","2","probablyNot","definitelyNot","1947","female","","white","","hs","retired","townhome","","own","","2","moderate","","no",""
"AtgkhIT6h4F2waLTPQHhyczAWViUZOkSp6n849yeShwWlfzZLqgn91j9t_1peXd2","2021-10-29 14:50:52","2021-10-29 14:53:19","2021-10-29 14:53:19","","9840","hev","hev, phev, bev","not_sure","1","Gasoline","","driveway","","2","maybe","maybe","1971","male","","hispanic","","hs","employed_over40","mobile","","rent","","2","moderate","","yes","None"
"la6EeQA8jRE4i-K6885kdOyFwnMPjz8EsTof0vqG4WH7XpbzeJM0u0HpqSiiNRdw","2021-10-29 14:52:57","2021-10-29 14:55:11","2021-10-29 14:55:11","","8753","hev, phev","hev, phev, bev","not_sure","3","Gasoline","","driveway, SFH","","2","maybe","probablyNot","1971","female","","white","","hs","employed_over40","detached","","own","","5 or more","conservative","","yes",""
"4qzL2ZwtluWtE-HXeLar_-WdTXJ-ElTocjR9a6TWNnQABCU3jid6K5v8Dqbdf3lC","2021-10-29 14:53:10","2021-10-29 14:56:03","2021-10-29 14:56:03","","954","hev, phev","hev, phev, bev","not_sure","1","Gasoline","","driveway, SFH","","2","probablyNot","maybe","1982","female","","white","","hs","employed_over40","detached","","rent","","2","conservative","","no","i am not very familiar with the tax credit and need to get more familiiar with all of these options in the near future"
"_mGDXf1xKOA1H6cuXdzVq7R59HD3TeLt-rAODek8JYI2dkxeuVEGzxU_B5ZFr1kw","2021-10-29 14:53:47","2021-10-29 14:56:01","2021-10-29 14:56:01","","6718","hev","hev, phev, bev","not_sure","1","Gasoline","","street, driveway, shared_lot","","3","definitelyYes","definitelyYes","1986","female","","white, hispanic, native","","hs","not_employed_yes_looking","apartment","","rent","","3","conservative","","yes","No the survey was great"
"Kupr33tsQwTVD_UvBfew-L3lhWEfs10fu5yNZEFbWVPR_jYXSxQJm5dM9-D5bpD1","2021-10-29 14:54:01","2021-10-29 14:57:06","2021-10-29 14:57:06","","4635","bev","phev","not_sure","1","Gasoline","","driveway","","3","maybe","maybe","1989","female","","white","","hs","employed_under40","detached","","prefer_not_say","","3","conservative","","prefer_not_say",""
"DIwqVAFr3kNb6kg-SlHOG_T_JqRNEvaCC8Z0DDE2L9PiyliorDsrqYVhNuXFrIvU","2021-10-29 14:55:43","2021-10-29 14:57:38","2021-10-29 14:57:38","","3691","hev, phev","phev, bev","not_sure","1","Gasoline","","driveway","","3","maybe","maybe","1990","female","","white","","college_some","prefer_not_say","detached","","rent","","5 or more","prefer_not_say","","yes",""
"vVtpCuboCq4UuV76zfNz_HJ7z4CYzf8Ee3tHgyZog98LD_vzY3nPrK4YgYrlTtdm","2021-10-29 14:56:01","2021-10-29 14:57:18","2021-10-29 14:57:18","","4266","hev, phev","phev","7500","2","Gasoline","","driveway","","3","maybe","probablyYes","1986","male","","asian","","college_some","employed_under40","apartment","","rent","","2","moderate","","no",""
"IQJuVxjuBH__43s_5ZSBL4YAyAc1SXVNUl-B1sLuG51qT5sDo4aekdf1cV8YOn-1","2021-10-29 14:56:45","2021-10-29 14:58:39","2021-10-29 14:58:39","","1044","hev, phev","hev, phev, bev","7500","2","Gasoline","","driveway","","1","probablyYes","probablyYes","1977","male","","white","","hs","employed_over40","apartment","","rent","","3","conservative","","no",""
"v5VGPShv-gAbYq1x4uhRCUhMwwppsaJ-EQZiZ7rP3_QNSD2g8dPhWqRLkrSABIpf","2021-10-29 14:57:30","2021-10-29 15:00:09","2021-10-29 15:00:09","","5296","hev, phev","hev, phev, bev","not_sure","1","Gasoline","","street, driveway","","2","probablyNot","probablyNot","1989","female","","white","","college_some","disabled","mobile","","own","","3","prefer_not_say","","yes",""
"TQUrnPn6bWmRQCW8-YpUNDZPt3LB_aeS3KOAqT6Ln-cP3n2kqQlAOgOJ2UKQUTWj","2021-10-29 14:59:40","2021-10-29 15:01:57","2021-10-29 15:01:57","","606","hev, phev","phev, bev","not_sure","1","Gasoline","","street","","2","maybe","probablyNot","1970","male","","black","","hs","employed_under40","townhome","","own","","2","liberal","","no",""
"rGosGKh60fvj3cOd4H9CajHA2Mw0ERlXkrVePjYAn1MyLwby96nE1T_f4PL9-9Mz","2021-10-29 15:03:55","2021-10-29 15:05:06","2021-10-29 15:05:06","","935","phev","hev","5000","2","Gasoline","","driveway","","1","definitelyYes","probablyYes","1992","female","","black","","degree_bs","employed_over40","townhome","","own","","4","moderate","","yes",""
"YPFouoYj7XG2yB2LFTC6hfe7ACAEF4xdgpPCXhurO1nvi5xgASVRaJkhIo4y1T0x","2021-10-29 15:09:15","2021-10-29 15:13:15","2021-10-29 15:13:15","","6992","hev, phev","hev, phev","not_sure","0","","","driveway","","2","probablyYes","definitelyYes","1998","female","","white","","hs","not_employed_yes_looking","detached","","rent","","3","moderate","","yes",""
"Nq7fFtA40cXZCdHVbPoHadlvgnTyoSnx3fYbxXSQoY7cSspkScja7fQ3WX1y6WoU","2021-10-30 08:24:15","2021-10-30 08:26:44","2021-10-30 08:26:44","","4022","hev, phev","phev, bev","not_sure","3","Gasoline","","driveway","","2","probablyYes","probablyNot","1983","male","","white","","vocational","not_employed_yes_looking","detached","","own","","2","conservative","","no",""
"MsSJLAU2V82NF1Ggptd4mDDKnfEgwNqTMMp0UwK2eCWaMWi3ztQeULUfxyHMIWLr","2021-10-30 08:30:25","2021-10-30 08:32:51","2021-10-30 08:32:51","","9713","hev","phev, bev","5000","1","Gasoline","","SFH","","3","probablyYes","probablyYes","1956","male","","black","","college_some","retired","townhome","","own","","2","moderate","","yes","The advertising is good "
"-q3vkr5DPgcOG1NNltaKRG4LXRH2k9m9dvTLqrVBo1HuKmz4-WK2qubhUwhYxl_N","2021-10-30 12:40:29","2021-10-30 12:44:22","2021-10-30 12:44:22","","7242","hev","bev","not_sure","1","Gasoline","","shared_lot","","2","probablyYes","probablyYes","1973","male","","black","","degree_associate","retired","apartment","","rent","","2","conservative","","no",""
"oog0IqyY3LHs6lKI81CF38GiOfnfnWlCcO18rhHtf0_g3IEIWTK_HnzOabTsqEGf","2021-10-30 15:17:19","2021-10-30 15:23:46","2021-10-30 15:23:46","","5428","hev, phev","phev, bev","not_sure","2","Gasoline","","SFH","","2","definitelyNot","definitelyNot","1950","male","","white","","vocational","retired","detached","","own","","2","very_conservative","","no","I think electric vehicles are the choice of a very small percentage of people. If the Democrats don’t totally destroy our fossil fuels, I think it will be a long time before electric vehicles become preferred by the majority of drivers. "
"P1JkSWonc7DtBfb38H94cIrPV5S7HyG5FYkx4YZ8PYplejxBfAnc8AECXvhvDtcN","2021-10-30 16:23:03","2021-10-30 16:25:53","2021-10-30 16:25:53","","7108","hev","phev, bev","not_sure","2","Gasoline","","driveway, SFH","","2","probablyYes","probablyYes","1963","male","","white","","degree_associate","employed_under40","detached","","own","","2","conservative","","no",""
"ZGEM78iwZf64hLHkeiHckY9ld_cZhRihcZbOw6Ipm9xlVeqhEB-MrgtwEvneEmEg","2021-10-30 17:09:13","2021-10-30 17:10:32","2021-10-30 17:10:32","","9476","hev","phev","not_sure","1","Gasoline","","street","","2","definitelyYes","maybe","1978","female","","white","","degree_associate","employed_over40","townhome","","rent","","5 or more","liberal","","no",""
"b2swpvs2qYUSkiCmn4tgm9kzxsnI-Gu4D1IWaj2_j69HQHYsgG32kWQHrGzGX4ia","2021-10-30 17:09:22","2021-10-30 17:11:07","2021-10-30 17:11:07","","2834","hev","hev, phev, bev","10000","1","Gasoline","","driveway","","2","definitelyYes","probablyYes","1987","male","","hispanic","","degree_associate","employed_under40","detached","","own","","3","conservative","","no",""
"damOb-118xJ_LVd7CBHromKAx75OHmmaP2a59g1OsgJJeQkhlK6ThmqGabPYCOq9","2021-10-30 17:09:28","2021-10-30 17:10:27","2021-10-30 17:10:27","","5178","hev","phev, bev","not_sure","1","Gasoline","","driveway","","3","definitelyYes","definitelyYes","1991","female","","white","","hs","not_employed_yes_looking","detached","","own","","3","very_liberal","","no",""
"Xiq1_BofHfrfZpz1H_h0aOcm8OIjuaEi29FML5onkVhRnI9eCE_B4o_gHYY8w7DP","2021-10-30 17:10:32","2021-10-30 17:11:52","2021-10-30 17:11:52","","1840","hev","phev","not_sure","1","Gasoline","","driveway","","3","definitelyNot","definitelyNot","1980","male","","white","","hs","employed_over40","townhome","","own","","4","conservative","","no",""
"Tvx_6h8vhd298bu7G6fK2cR08N41xaHOqUP57rT5P2gBbhXjZbxjZ9xLT5__uElW","2021-10-30 17:11:23","2021-10-30 17:13:19","2021-10-30 17:13:19","","5465","hev, phev","phev, bev","5000","1","Gasoline","","shared_lot","","2","probablyYes","probablyYes","1981","male","","white","","college_some","employed_under40","apartment","","rent","","3","conservative","","yes","Love this survey"
"lemYREm1SDhkk4Y2E9rBRwCPupXy9XckFMO93_mczdqZr_jU65wgXsfJKa-PAzS9","2021-10-30 17:11:28","2021-10-30 17:12:45","2021-10-30 17:12:45","","1844","hev","phev, bev","7500","1","Gasoline","","driveway","","2","definitelyNot","definitelyNot","1990","female","","white","","hs","employed_under40","mobile","","own","","2","moderate","","yes",""
"bpeYmTz-G7nzlvTrJUgFp2bOaRVp8hThhdc7hi5OaAkNnIU0036oyo0I4aJj71kP","2021-10-30 17:11:46","2021-10-30 17:14:46","2021-10-30 17:14:46","","2221","phev","bev","not_sure","2","Gasoline","","driveway, SFH","","2","maybe","maybe","1953","male","","white","","hs","retired","detached","","own","","2","moderate","","no","Nothing at this time."
"uU-BK1JqFohCInENuL_c2qU3KhjMpRlQAogu2XwWbN56I09itTEGJmxYNiEiuIa7","2021-10-30 17:11:52","2021-10-30 17:13:51","2021-10-30 17:13:51","","1481","hev","hev","not_sure","1","Gasoline","","street","","2","probablyNot","probablyYes","1988","female","","black","","degree_bs","employed_over40","detached","","own","","5 or more","moderate","","no",""
"kfqvXL328lKiJX0oirfiwMRq9dUyetdAPhYggm6mG84RWNE9VxBjwGLnSXkGQ7d7","2021-10-30 17:12:12","2021-10-30 17:14:15","2021-10-30 17:14:15","","4141","hev, phev","hev, phev, bev","not_sure","0","","","driveway","","2","probablyNot","definitelyNot","1982","female","","white","","college_some","employed_under40","detached","","own","","3","moderate","","yes",""
"5_xM1w8WL8GTRxnI2GWJHnDsxY5YWUHSFYPsZJIHqqFmH02IFTZxclC8n534u22X","2021-10-30 17:12:16","2021-10-30 17:14:01","2021-10-30 17:14:01","","8843","hev, phev","phev","5000","1","Gasoline","","driveway","","1","definitelyYes","probablyNot","1987","female","","white","","college_some","employed_over40","mobile","","rent","","4","moderate","","yes","Nothing"
"_OXN7Wk-YQ5e6iZC4sRG9p53EVOV5u2bvMW8D3Fmx-Wdu617l34HRrUN4-bIYGFN","2021-10-30 17:12:58","2021-10-30 17:14:57","2021-10-30 17:14:57","","5557","hev","phev","7500","1","Gasoline","","driveway","","3","maybe","maybe","1979","male","","asian","","college_some","employed_over40","detached","","rent","","2","very_conservative","","yes",""
"ELBoe9tIvqOMaAKGJSrYeP4-Hc8MmTQqRHp6KHrbp8YOPnBStTBGKMWSirmZ3M45","2021-10-30 17:13:27","2021-10-30 17:16:07","2021-10-30 17:16:07","","9017","hev, phev","hev, phev, bev","not_sure","2","Gasoline","","driveway","","2","maybe","maybe","1961","male","","white","","college_some","employed_over40","mobile","","rent","","2","moderate","","yes","Nothing"
"LLR1WnqXBVz7ygk7G4mQZW_ptjUsx7ZqM5QOeuOFG9m_8Y7UXe077SkXiejwASDI","2021-10-30 17:13:31","2021-10-30 17:15:01","2021-10-30 17:15:01","","4114","hev","phev","7500","2","Gasoline","","shared_lot","","2","definitelyYes","definitelyYes","1986","female","","white","","college_some","not_employed_yes_looking","apartment","","rent","","4","conservative","","yes",""
"T2okT_ST7gW0tQ1aiCqthEyP88PBanNba6RWiYaUVwV5MDWh_-XPFnY255w_Z3KR","2021-10-30 17:13:51","2021-10-30 17:15:45","2021-10-30 17:15:45","","1131","hev","hev, phev, bev","5000","2","Gasoline","","street, driveway","","2","maybe","maybe","1954","male","","white","","college_some","retired","detached","","own","","2","conservative","","no",""
"CyL8xjmYsHZFcsN9C_U3XtwxoV92xALSWO13MoQOEJHebzHhsnqXA01FLucT3z6D","2021-10-30 17:13:59","2021-10-30 17:15:24","2021-10-30 17:15:24","","3953","hev","phev, bev","not_sure","1","Gasoline","","street, driveway, SFH","","3","maybe","maybe","1982","female","","white","","hs","employed_under40","detached","","own","","3","prefer_not_say","","yes",""
"D1qEPKG3rEqv1fJ3WoLyjoVwD3QQQtgyhAPo8mDGr7kkGHOT0EZfgkgkWY_LM4gw","2021-10-30 17:14:38","2021-10-30 17:16:26","2021-10-30 17:16:26","","5827","hev, phev","phev, bev","2500","2","Gasoline, Hybrid","","street, driveway, SFH","","1","definitelyNot","definitelyNot","1987","male","","white","","hs","employed_over40","apartment","","rent","","2","liberal","","no",""
"IW-k6GDg4YdYdvxT9B-fha7eds7F2MRr0I6dJxjZasgW21Ap1bqZhzmcw6MrGP4R","2021-10-30 17:14:45","2021-10-30 17:15:58","2021-10-30 17:15:58","","1471","hev","phev","not_sure","1","Gasoline","","shared_lot","","2","maybe","maybe","1988","male","","white","","hs","employed_over40","apartment","","rent","","5 or more","moderate","","no",""
"R1AWYQksAxsI1lQGLcl6eeMrvcXE0W9ut8k1RIjEiO4LGVE3yC3GpNROkk9JIvg6","2021-10-30 17:14:53","2021-10-30 17:16:21","2021-10-30 17:16:21","","6936","hev","phev","not_sure","2","Gasoline","","driveway","","2","maybe","maybe","1977","female","","black","","degree_associate","employed_over40","detached","","own","","2","very_liberal","","no",""
"pJjRhwdgrVawH9fY-r9dQZ_dthLmjVQkWucp4R_FaIhIjIavXYkEdOXn6Gh7xAiD","2021-10-30 17:15:05","2021-10-30 17:16:38","2021-10-30 17:16:38","","6820","hev","phev, bev","not_sure","2","Gasoline","","shared_lot","","2","definitelyYes","definitelyYes","1973","female","","white","","college_some","employed_under40","mobile","","own","","2","moderate","","no",""
"sw0b9SbB_89aN7-Zm25iJiNZan3UFeGzoGHOhSlyO6mJ4gAIjo1_Vxm8y6ohBnB5","2021-10-30 17:15:47","2021-10-30 17:17:20","2021-10-30 17:17:20","","9848","phev","phev","not_sure","2","Gasoline","","driveway","","2","definitelyNot","definitelyNot","1968","female","","white","","hs","not_employed_not_looking","mobile","","rent","","2","very_liberal","","no",""
"JpEqnXJYTdGslqmHX9WqcER1p9-if1vrS9Vz_lSMTURiwIXgMWDRzJNG99fmZTdx","2021-10-30 17:15:52","2021-10-30 17:18:02","2021-10-30 17:18:02","","5978","hev","phev","not_sure","2","Gasoline","","street, driveway","","3","maybe","maybe","1986","female","","black, white","","degree_associate","employed_under40","detached","","own","","3","moderate","","yes",""
"a_jUZN0JwRHtDIleWyhSXot0Vt99o6R-m-v3EHY50v0FE2E0gep1_deKyrGtRLFl","2021-10-30 17:16:19","2021-10-30 17:18:36","2021-10-30 17:18:36","","3274","hev","hev, phev, bev","not_sure","2","Gasoline","","driveway, SFH","","3","maybe","probablyNot","1946","male","","white","","degree_bs","retired","detached","","own","","2","conservative","","no",""
"sb8qD75SOTXym99a29ddsdgQUhnvdtJ2pNxiNR4EfiXwJcqlXIAoT0aN2KYEZp4Z","2021-10-30 17:16:35","2021-10-30 17:18:58","2021-10-30 17:18:58","","7206","phev","phev","not_sure","0","","","driveway","","2","maybe","probablyNot","1974","female","","white","","degree_associate","not_employed_not_looking","detached","","own","","2","liberal","","no",""
